연도,시도,시군구,계약종별,1월,2월,3월,4월
2023,대구광역시,북구,가로등,2038350,1929099,1692378,1695102
2023,대구광역시,북구,심 야,3179923,3025692,2040162,1385559
2023,대구광역시,북구,합 계,222274552,211031750,178168174,174761417
2023,대구광역시,수성구,주택용,59230511,58401341,49274327,50745979
2023,대구광역시,수성구,일반용,76582363,72852938,56948857,53501807
2023,대구광역시,수성구,교육용,5205697,4235549,3199608,2843672
2023,대구광역시,수성구,산업용,18812178,16890060,17296156,16749520
2023,대구광역시,수성구,농사용,570825,547779,390051,304308
2023,대구광역시,수성구,가로등,1634389,1565767,1379607,1356727
2023,대구광역시,수성구,심 야,3445471,3339216,2203901,1424211
2023,대구광역시,수성구,합 계,165481434,157832650,130692507,126926224
2023,대구광역시,달서구,주택용,72701719,71452803,61758801,64056875
2023,대구광역시,달서구,일반용,90237890,85593093,68888845,65425491
2023,대구광역시,달서구,교육용,7837313,6736102,5464883,4848889
2023,대구광역시,달서구,산업용,179043493,169327492,163659364,160083200
2023,대구광역시,달서구,농사용,116648,100824,64571,57809
2023,대구광역시,달서구,가로등,2062251,1922969,1657336,1593804
2023,대구광역시,달서구,심 야,3027675,2876820,1907397,1149650
2023,대구광역시,달서구,합 계,355026989,338010103,303401197,297215718
2023,대구광역시,달성군,주택용,34453602,33607300,28873453,29479199
2023,대구광역시,달성군,일반용,48030337,45412464,37662157,36189922
2023,대구광역시,달성군,교육용,7039568,6257576,5699568,5270566
2023,대구광역시,달성군,산업용,267117160,260360355,265641576,258623363
2023,대구광역시,달성군,농사용,5959004,5697542,4286358,3750391
2023,대구광역시,달성군,가로등,2457783,2320799,2154220,2129302
2023,대구광역시,달성군,심 야,4736507,4627564,3174127,2070367
2023,대구광역시,달성군,합 계,369793961,358283600,347491459,337513110
2023,인천광역시,중구,주택용,25447366,24557759,20815173,20940442
2023,인천광역시,중구,일반용,121419537,108938352,99181085,93403356
2023,인천광역시,중구,교육용,2924807,2308714,2356463,1664775
2023,인천광역시,중구,산업용,87031470,75964957,81709614,81010022
2023,인천광역시,중구,농사용,539709,509702,553561,527475
2023,인천광역시,중구,가로등,2832049,2721451,2389578,2280991
2023,인천광역시,중구,심 야,3242090,3034545,2164881,1608026
2023,인천광역시,중구,합 계,243437028,218035480,209170355,201435087
2023,인천광역시,동구,주택용,8380754,7860791,6929873,6957541
2023,인천광역시,동구,일반용,12162335,11105402,8811684,7741602
2023,인천광역시,동구,교육용,1075504,888604,876724,642127
2023,인천광역시,동구,산업용,272839516,284144978,278078097,296650088
2023,인천광역시,동구,농사용,5771,5894,4413,2884
2023,인천광역시,동구,가로등,375785,348260,335998,328199
2023,인천광역시,동구,심 야,628772,562981,406297,163033
2023,인천광역시,동구,합 계,295468437,304916910,295443086,312485474
2023,인천광역시,미추홀구,주택용,57989702,56806947,48035183,49533433
2023,인천광역시,미추홀구,일반용,70669327,65169036,52641464,48454573
2023,인천광역시,미추홀구,교육용,7394669,5848066,5703092,4151873
2023,인천광역시,미추홀구,산업용,38829018,36239551,34471170,32350516
2023,인천광역시,미추홀구,농사용,50244,48506,36057,31509
2023,인천광역시,미추홀구,가로등,1158236,1074796,972623,955231
2023,인천광역시,미추홀구,심 야,2024742,1848227,1368307,1009748
2023,인천광역시,미추홀구,합 계,178115938,167035129,143227896,136486883
2023,인천광역시,서구,주택용,88945232,86767542,76208665,76883149
2023,인천광역시,서구,일반용,134483314,123137344,103455421,94880320
2023,인천광역시,서구,교육용,6268885,5024403,4896411,3155740
2023,인천광역시,서구,산업용,327558443,306141645,303808700,298286561
2023,인천광역시,서구,농사용,1021439,910784,656539,817655
2023,인천광역시,서구,가로등,3358112,3161288,2879325,2775963
2023,인천광역시,서구,심 야,1877593,1766484,1241231,915705
2023,인천광역시,서구,합 계,563513018,526909490,493146292,477715093
2023,인천광역시,남동구,주택용,71899356,69898498,59278280,60755806
2023,인천광역시,남동구,일반용,99991993,92557838,75062265,69404939
2023,인천광역시,남동구,교육용,4863955,3935738,3807160,2573900
2023,인천광역시,남동구,산업용,195733842,186593506,171618117,162180592
2023,인천광역시,남동구,농사용,1464590,1305629,910473,805411
2023,인천광역시,남동구,가로등,1915145,1799503,1605019,1571418
2023,인천광역시,남동구,심 야,1757270,1634715,1079577,724927
2023,인천광역시,남동구,합 계,377626151,357725427,313360891,298016993
2023,인천광역시,부평구,주택용,68997625,66899456,56810945,58451888
2023,인천광역시,부평구,일반용,84721428,77422580,62908345,56866454
2023,인천광역시,부평구,교육용,4881583,3921469,3992895,2664329
2023,인천광역시,부평구,산업용,63095104,59408356,57056843,53789593
